restaurant,city,state,awards_count,current_lat,current_lng,correct_lat,correct_lng,Address
"Elizabeth Street Hospitality (The Musket Room, Raf's, and Cafe Zaffri)",New York,New York,2,40.7127281,-74.0060152,,,
"Frenchette, Le Veau d' Or, and Le Rock",New York,New York,2,40.7127281,-74.0060152,40.759167,-73.978188,"45 Rockefeller Plaza, New York, New York 10020, United States"
Kono,New York,New York,2,40.7127281,-74.0060152,40.715679,-73.996758,"46 Bowery, New York, New York 10013, United States"
"Overthrow Hospitality (Cadence, Etérea, Avant Garden)",New York,New York,2,40.7127281,-74.0060152,,,
Balaboosta,New York,New York,2,40.7127281,-74.0060152,40.73765598,-74.00580963,"611 Hudson St, New York, New York 10014, United States"
Ma Peche,New York,New York,2,40.7127281,-74.0060152,42.417038,-90.425613,"230 N Commerce St, Galena, Illinois 61036, United States"
wd~50,New York,New York,2,40.7127281,-74.0060152,,,
Richard Pandiscio,New York,New York,2,40.7127281,-74.0060152,,,
Le Veau d'Or,New York,New York,2,40.7127281,-74.0060152,40.763248,-73.968071,"129 E 60th St, New York, New York 10022, United States"
Andre Kikoski,New York,New York,2,40.7127281,-74.0060152,40.72763125,-74.00531755,"180 Varick St, New York, New York 10014, United States"
Steven Solomon,New York,New York,2,40.7127281,-74.0060152,41.02527762,-73.72029487,"4 Manhattanville Rd Suite 104, Purchase, New York 10577, United States"
P*ong,New York,New York,2,40.7127281,-74.0060152,,,
Tadao Ando,New York,New York,2,40.7127281,-74.0060152,40.72032269,-73.99484246,"152 Elizabeth St, New York, New York 10012, United States"
Shawn Sullivan,New York,New York,2,40.7127281,-74.0060152,35.68921402,-96.87087862,"910458 S 3440 Rd, Chandler, Oklahoma 74834, United States"
David J. Lewis,New York,New York,2,40.7127281,-74.0060152,43.15284935,-78.66650047,"6612 Lincoln Ave, Lockport, New York 14094, United States"
Marc Tsurumaki,New York,New York,2,40.7127281,-74.0060152,,,
Paul Lewis,New York,New York,2,40.7127281,-74.0060152,40.76144944,-73.77042123,"42-40 Bell Blvd, Bayside, New York 11361, United States"
Niels Guldager,New York,New York,2,40.7127281,-74.0060152,,,
Andrea Brown,New York,New York,2,40.7127281,-74.0060152,40.64443287,-73.8985964,"Brooklyn, New York 11236, United States"
Greg Bradshaw,New York,New York,2,40.7127281,-74.0060152,,,
Kristina O'Neal,New York,New York,2,40.7127281,-74.0060152,,,
Frank Prial,New York,New York,2,40.7127281,-74.0060152,39.10371215,-77.10865188,"5301-5399 Trailway Dr, Rockville, Maryland 20853, United States"
Ilo,New York,New York,2,40.7127281,-74.0060152,,,
Alain Ducasse at the Essex House,New York,New York,2,40.7127281,-74.0060152,40.76620776,-73.97855802,"160 Central Park S, New York, New York 10019, United States"
Drew Nieporent,New York,New York,2,40.7127281,-74.0060152,,,
"Fifty Seven Fifty Seven, The Four Seasons Hotel",New York,New York,2,40.7127281,-74.0060152,40.763706,-73.976242,"40 W 57th St, New York, New York 10019, United States"
Le Cirque 2000,New York,New York,2,40.7127281,-74.0060152,,,
Tapika,New York,New York,2,40.7127281,-74.0060152,,,
Danny Meyer,New York,New York,2,40.7127281,-74.0060152,41.48992615,-74.21115901,"2 Senior Way, Maybrook, New York 12543, United States"
Gael Greene,New York,New York,2,40.7127281,-74.0060152,,,
Red Tail Ridge Winery,Penn Yan,New York,2,42.6603037,-77.0540989,42.723362,-76.976905,"846 NY-14, Penn Yan, New York 14527, United States"
Mirabelle,St. James,New York,2,40.8827035,-73.1480789,40.91923,-73.148283,"150 Main St, Stony Brook, New York 11790, United States"
Chai Pani Restaurant Group (Chai Pani and Botiwalla),Asheville,North Carolina,2,35.595363,-82.5508407,35.59491578,-82.55542158,"26 Battery Park Ave, Asheville, North Carolina 28801, United States"
Neng Jr.'s,Asheville,North Carolina,2,35.595363,-82.5508407,35.577721,-82.591904,"701 Haywood Rd Ste 102, Asheville, North Carolina 28806, United States"
Eric Solomon Selections,Charlotte,North Carolina,2,35.2272086,-80.8430827,,,
SALTBOX Seafood Joint,Durham,North Carolina,2,35.996653,-78.9018053,35.97395,-78.92917,"2637 Durham-Chapel Hill Blvd, Durham, North Carolina 27707, United States"
Cheeni Indian Food Emporium,Raleigh,North Carolina,2,35.7803977,-78.6390989,35.792796,-78.84406,"1710 High House Rd, Cary, North Carolina 27513, United States"
Olivero,Wilmington,North Carolina,2,34.2352853,-77.9487284,34.228165,-77.945414,"522 S 3rd St, Wilmington, North Carolina 28401, United States"
Catch,Wilmington,North Carolina,2,34.2352853,-77.9487284,34.257906,-77.838815,"6623 Market St, Wilmington, North Carolina 28405, United States"
BernBaum's,Fargo,North Dakota,2,46.877229,-96.789821,,,
Jean-Robert's Table,Cincinnati,Ohio,2,39.1014537,-84.5124602,,,
Maisonette,Cincinnati,Ohio,2,39.1014537,-84.5124602,33.93066904,-81.27677051,"595 Whippoorwill Dr, Lexington, South Carolina 29073, United States"
"Edgewater Hospitality (Amba, Zhug, Kiln, and others)",Cleveland,Ohio,2,41.4996574,-81.6936772,,,
Larder Delicatessen & Bakery,Cleveland,Ohio,2,41.4996574,-81.6936772,41.489152,-81.710357,"1455 W 29th St, Cleveland, Ohio 44113, United States"
Dragonfly Neo-V Cuisine,Columbus,Ohio,2,39.9622601,-83.0007065,,,
Living Kitchen Farm & Dairy,Depew,Oklahoma,2,35.8028493,-96.5061215,35.832729,-83.573959,"1638 Parkway, Sevierville, Tennessee 37862, United States"
Nonesuch,Oklahoma City,Oklahoma,2,35.4729886,-97.5170536,35.475365,-97.519565,"803 N Hudson Ave, Oklahoma City, Oklahoma 73102, United States"
"3 Sirens Restaurant Group (Bird & Bottle, Holé Molé, Shakey Jakes, and others)",Tulsa,Oklahoma,2,36.1563122,-95.9927516,36.11807530594345,-95.93893538574063,
Hiyu Wine Farm,Hood River,Oregon,2,45.5311636,-121.6475587,45.65727,-121.55062,"3890 Acree Dr, Hood River, Oregon 97031, United States"
Hayward,McMinnville,Oregon,2,45.2100367,-123.194463,45.29462165,-123.17884894,"209 N Kutch St, Carlton, Oregon 97111, United States"
OK Omens,Portland,Oregon,2,45.5202471,-122.674194,45.512026,-122.64733,"1758 SE Hawthorne Blvd, Portland, Oregon 97214, United States"
MÃ¥urice,Portland,Oregon,2,45.5202471,-122.674194,,,
Pok Pok and Whiskey Soda Lounge,Portland,Oregon,2,45.5202471,-122.674194,29.950318,-89.974999,"8700 W Judge Perez Dr, Chalmette, Louisiana 70043, United States"
Dad's Hat Pennsylvania Rye Whiskey,Bristol,Pennsylvania,2,40.1229002,-74.8644706,40.10417235,-74.85141751,"Door 16, Bristol, Pennsylvania 19007, United States"
Lautrec,Farmington,Pennsylvania,2,39.8071471,-79.5655338,39.80622594,-79.55132796,"1001 Lafayette Dr, Farmington, Pennsylvania 15437, United States"
"Lautrec, Nemacolin Woodlands Resort",Farmington,Pennsylvania,2,39.8071471,-79.5655338,39.805504,-79.551239,"1001 Lafayette Dr, Farmington, Pennsylvania 15437, United States"
Tequilas Restaurant & La Jefa,Philadelphia,Pennsylvania,2,39.9527237,-75.1635262,39.948558,-75.167908,"1602 Locust St, Philadelphia, Pennsylvania 19103, United States"
El Chingon,Philadelphia,Pennsylvania,2,39.9527237,-75.1635262,39.930103,-75.16153,"1524 S 10th St, Philadelphia, Pennsylvania 19147, United States"
Cantina La Martina,Philadelphia,Pennsylvania,2,39.9527237,-75.1635262,40.09451056,-75.12529936,"208 Old York Rd, Jenkintown, Pennsylvania 19046, United States"
Le Caveau,Philadelphia,Pennsylvania,2,39.9527237,-75.1635262,39.94173734,-75.15409773,"614 S 7th St, Philadelphia, Pennsylvania 19147, United States"
Tria Restaurants and Fermentation School,Philadelphia,Pennsylvania,2,39.9527237,-75.1635262,34.018663,-118.284413,"699 Exposition Boulevard, Los Angeles, California 90089, United States"
Pasion,Philadelphia,Pennsylvania,2,39.9527237,-75.1635262,39.97626888,-75.33336227,"2010 West Chester Pike #310, Havertown, Pennsylvania 19083, United States"
Morimoto,Philadelphia,Pennsylvania,2,39.9527237,-75.1635262,39.94962,-75.153326,"723 Chestnut St, Philadelphia, Pennsylvania 19106, United States"
"Richard DeShantz Restaurant Group (Meat & Potatoes, Butcher and the Rye, Tako, and others)",Pittsburgh,Pennsylvania,2,40.4406968,-80.0025666,,,
big Burrito Restaurant Group,Pittsburgh,Pennsylvania,2,40.4406968,-80.0025666,40.42705435,-79.94961378,"201 Saline St, Pittsburgh, Pennsylvania 15207, United States"
Dinette,Pittsburgh,Pennsylvania,2,40.4406968,-80.0025666,40.74474416,-73.42144652,"1815 Broadhollow Rd, Farmingdale, New York 11735, United States"
Giusto,Newport,Rhode Island,2,41.4899827,-71.3137707,41.484978,-71.315445,"Giusto, Newport, Rhode Island 02840, United States"
"The Indigo Road Hospitality Group (Indaco, The Macintosh, O-Ku Sushi, and others)",Charleston,South Carolina,2,32.7884363,-79.9399309,32.78137,-79.93017,
Wildflour Pastry,Charleston,South Carolina,2,32.7884363,-79.9399309,32.788131,-80.019559,"1750 Savannah Hwy, Charleston, South Carolina 29407, United States"
Sienna,Daniel Island,South Carolina,2,32.8583364,-79.9126489,40.444153,-79.996529,"942 Penn Ave, Pittsburgh, Pennsylvania 15222, United States"
Hjem A.M.,Custer,South Dakota,2,43.6726477,-103.5101597,43.76537873,-103.60289098,"308 Mt Rushmore Rd, Custer, South Dakota 57730, United States"
Skogen Kitchen,Custer,South Dakota,2,43.6726477,-103.5101597,35.77445432,-78.43500175,"1940 Golden Spur Ln SUITE 106, Wendell, North Carolina 27591, United States"
Phillip Ashley Chocolates,Memphis,Tennessee,2,35.1460249,-90.0517638,35.13961,-90.02116,
Raji,Memphis,Tennessee,2,35.1460249,-90.0517638,41.5421135,-72.62573496,"400 Saybrook Rd #100, Middletown, Connecticut 06457, United States"
Tailor,Nashville,Tennessee,2,36.1622767,-86.7742984,36.17998009,-86.78828412,"1401 3rd Ave N, Nashville, Tennessee 37208, United States"
Maíz de la Vida,Nashville,Tennessee,2,36.1622767,-86.7742984,36.151473,-86.779141,"606 8th Ave S store 100, Nashville, Tennessee 37203, United States"
Capitol Grille at the Hermitage Hotel,Nashville,Tennessee,2,36.1622767,-86.7742984,36.163734,-86.782204,"231 6th Ave N, Nashville, Tennessee 37219, United States"
Smoke’N Ash BBQ,Arlington,Texas,2,32.7355816,-97.1071186,32.6513037,-97.1358483,"5904 South Cooper Street Suite 110, Arlington, Texas 76017, United States"
Smoke'N Ash BBQ,Arlington,Texas,2,32.7355816,-97.1071186,32.6513037,-97.1358483,"5904 South Cooper Street Suite 110, Arlington, Texas 76017, United States"
Distant Relatives,Austin,Texas,2,30.2711286,-97.7436995,30.20882108,-97.72958888,"3901 Promontory Point Dr, Austin, Texas 78744, United States"
Clementine,Castle Hills,Texas,2,29.5232851,-98.5164071,29.532425,-98.522141,"2195 NW Military Hwy, Castle Hills, Texas 78213, United States"
Molino Olōyō,Dallas,Texas,2,32.7762719,-96.7968559,32.78779701,-96.81371531,"1025 N Stemmons Fwy Suite 600, Dallas, Texas 75207, United States"
Bullion,Dallas,Texas,2,32.7762719,-96.7968559,32.98642483,-96.57878434,"7214 S State Hwy 78 Suite 26, Sachse, Texas 75048, United States"
Baso,Houston,Texas,2,29.7589382,-95.3676974,29.802987,-95.409516,"633 W 19th St # A, Houston, Texas 77008, United States"
"H-Town Restaurant Group (Hugo's, Xochi, Urbe and others)",Houston,Texas,2,29.7589382,-95.3676974,,,
"Sof Hospitality Group (Hamsa, Badolina Bakery, and Doris Metropolitan)",Houston,Texas,2,29.7589382,-95.3676974,,,
Koffeteria,Houston,Texas,2,29.7589382,-95.3676974,29.749894,-95.355469,"1110 Hutchins St #102, Houston, Texas 77003, United States"
"Nobie's, Toasted Coconut, and Nonno's",Houston,Texas,2,29.7589382,-95.3676974,29.734129,-95.400193,"1617 Richmond Ave, Houston, Texas 77006, United States"
"Sof Hospitality Group (Doris Metropolitan, Hamsa, Bādolina Bakery & Café)",Houston,Texas,2,29.7589382,-95.3676974,,,
Cochinita & Co.,Houston,Texas,2,29.7589382,-95.3676974,29.72731812,-95.32086203,"5420 Lawndale St #500, Houston, Texas 77023, United States"
T'afia,Houston,Texas,2,29.7589382,-95.3676974,,,
Bordo,Marfa,Texas,2,30.3117621,-104.023146,30.30649884,-104.03365276,"1210 W San Antonio St, Marfa, Texas 79843, United States"
Maiya's,Marfa,Texas,2,30.3117621,-104.023146,33.55755322,-111.89945522,"8300 Hayden Rd E104, Scottsdale, Arizona 85258, United States"
Delgado Collective,McAllen,Texas,2,26.204114,-98.2300605,,,
Ana Liz Taqueria,Mission,Texas,2,26.2159066,-98.3252932,26.208157,-98.327312,"215 N Conway Ave, Mission, Texas 78572, United States"
Leche de Tigre,San Antonio,Texas,2,29.4246002,-98.4951405,29.407499,-98.497257,"318 E Cevallos St, San Antonio, Texas 78204, United States"
Chika,San Antonio,Texas,2,29.4246002,-98.4951405,29.44664797,-98.48134906,"875 E Ashby Pl, San Antonio, Texas 78212, United States"
El Pastor Es Mi Señor,San Antonio,Texas,2,29.4246002,-98.4951405,29.524154,-98.569785,"8727 Wurzbach Rd Suite 102, San Antonio, Texas 78240, United States"
Bootsie's Heritage Cafe,Tomball,Texas,2,30.0971621,-95.6160549,29.5450678,-95.17990496,"15825 Hope Village Rd ste b, Friendswood, Texas 77546, United States"
Three Stones,Brattleboro,Vermont,2,42.8507588,-72.5572913,32.8814077,-97.10665433,"3855 Glade Rd suite 150, Colleyville, Texas 76034, United States"
2941,Falls Church,Virginia,2,38.882334,-77.1710914,38.869591,-77.215134,"2941 Fairview Park Dr, Falls Church, Virginia 22042, United States"
The Willows Inn,Lummi Island,Washington,2,48.6945706,-122.6699819,41.31998448,-78.08389224,"10905 Main St, Sinnamahoning, Pennsylvania 15861, United States"
Hogstone Wood Oven,Orcas Island,Washington,2,48.6515579,-122.8179336,48.78820671,-122.5282044,"1801 W Bakerview Rd, Bellingham, Washington 98226, United States"
"Phở Bắc Súp Shop, Phởcific Standard Time, and The Boat",Seattle,Washington,2,47.6038321,-122.330062,47.599506,-122.315385,
Sawyer,Seattle,Washington,2,47.6038321,-122.330062,47.71271213,-122.33764035,"1536 N 115th St, Seattle, Washington 98133, United States"
Bateau,Seattle,Washington,2,47.6038321,-122.330062,44.228934,-69.77049,"149 Water St, Gardiner, Maine 04345, United States"
Il Corvo,Seattle,Washington,2,47.6038321,-122.330062,,,
Sitti's Table,Cody,Wyoming,2,44.5263107,-109.056392,44.52656,-109.061879,"1034 13th St, Cody, Wyoming 82414, United States"
Uchi,Austin,Alabama,1,34.5636963,-87.0498306,33.53123809,-86.85013738,"Birmingham, Alabama 35204, United States"
La Fête,Birmingham,Alabama,1,33.5206824,-86.8024326,33.51441781385289,-86.80455669999999,
Bayonet,Birmingham,Alabama,1,33.5206824,-86.8024326,33.515489,-86.805543,"2015 2nd Ave N, Birmingham, Alabama 35203, United States"
Adiõs,Birmingham,Alabama,1,33.5206824,-86.8024326,,,
Chez Fonfon,Birmingham,Alabama,1,33.5206824,-86.8024326,33.500618,-86.795715,"2007 11th Ave S, Birmingham, Alabama 35205, United States"
Frank Stitt,Birmingham,Alabama,1,33.5206824,-86.8024326,,,
Jade Liqueurs,Birmingham,Alabama,1,33.5206824,-86.8024326,,,
John Bielenberg,Greensboro,Alabama,1,32.7045753,-87.5958396,,,
Golden Age Wine,Mountain Brook,Alabama,1,33.5019459,-86.7556834,33.48339,-86.772155,"2828 Culver Rd, Mountain Brook, Alabama 35223, United States"
Ollie Irene,Mountain Brook,Alabama,1,33.5019459,-86.7556834,,,
Crush,Anchorage,Alaska,1,61.2163129,-149.894852,61.2188225,-149.89586491,"328 G St, Anchorage, Alaska 99501, United States"
Forêt,Flagstaff,Arizona,1,35.1987522,-111.651822,35.19717,-111.65046,"2 S Beaver St #170, Flagstaff, Arizona 86001, United States"
Atria,Flagstaff,Arizona,1,35.1987522,-111.651822,35.198809,-111.648908,"103 N Leroux St, Flagstaff, Arizona 86001, United States"
Kai,Gila River Indian Community,Arizona,1,33.177729,-111.9440076,33.266962,-111.989852,"5594 W Wild Horse Pass Blvd, Chandler, Arizona 85226, United States"
Espiritu,Mesa,Arizona,1,33.4151005,-111.831455,33.415047,-111.834457,"123 W Main St, Mesa, Arizona 85201, United States"
Carry On,Phoenix,Arizona,1,33.4484367,-112.074141,33.44851,-112.074386,"2 N Central Ave #101, Phoenix, Arizona 85004, United States"
Chilte,Phoenix,Arizona,1,33.4484367,-112.074141,33.453032,-112.084831,"765 Grand Ave, Phoenix, Arizona 85007, United States"
"Tratto, Pane Bianco, and Pizzeria Bianco",Phoenix,Arizona,1,33.4484367,-112.074141,33.500605,-112.074433,"4404 N Central Ave, Phoenix, Arizona 85012, United States"
Hana Japanese Eatery,Phoenix,Arizona,1,33.4484367,-112.074141,33.517331,-112.082969,"5524 N 7th Ave, Phoenix, Arizona 85013, United States"
Chacónne Patisserie,Phoenix,Arizona,1,33.4484367,-112.074141,33.45821343,-111.90772344,"8119 E Roosevelt St, Scottsdale, Arizona 85257, United States"
Nobuo At Teeter House,Phoenix,Arizona,1,33.4484367,-112.074141,33.54491524,-112.19045964,"7329 N 61st Ave, Glendale, Arizona 85301, United States"
Vecina,Phoenix,Arizona,1,33.4484367,-112.074141,33.4888,-111.960457,"3433 N 56th St, Phoenix, Arizona 85018, United States"
Nobuo at Teeter House,Phoenix,Arizona,1,33.4484367,-112.074141,33.54491524,-112.19045964,"7329 N 61st Ave, Glendale, Arizona 85301, United States"
Noca,Phoenix,Arizona,1,33.4484367,-112.074141,37.35174249,-122.01732513,"826 E Fremont Ave, Sunnyvale, California 94087, United States"
Indibar,Scottsdale,Arizona,1,33.4942189,-111.926018,33.529573,-111.927563,"6208 N Scottsdale Rd, Paradise Valley, Arizona 85253, United States"
Beginner's Luck,Scottsdale,Arizona,1,33.4942189,-111.926018,33.493275,-111.924934,"7240 E Main St Suite C100, Scottsdale, Arizona 85251, United States"
ShinBay,Scottsdale,Arizona,1,33.4942189,-111.926018,33.491025,-111.926402,"3720 N Scottsdale Rd #201, Scottsdale, Arizona 85251, United States"
Super Chunk Sweets & Treats,Scottsdale,Arizona,1,33.4942189,-111.926018,33.52130886,-112.07056563,"5757 N Central Ave, Phoenix, Arizona 85012, United States"
"Prime Steak Concepts (Dominick’s Steakhouse, Steak 44, Ocean 44)",Scottsdale,Arizona,1,33.4942189,-111.926018,33.5114708111365,-111.986075634918,
Talavera at the Four Seasons,Scottsdale,Arizona,1,33.4942189,-111.926018,33.59734366191793,-111.9774471,
Virtue,Scottsdale,Arizona,1,33.4942189,-111.926018,33.56217222,-111.95234625,"Paradise Valley, Arizona 85253, United States"
"Fox Restaurant Concepts (The Arrogant Butcher, Culinary Dropout, Olive & Ivy, and others)",Scottsdale,Arizona,1,33.4942189,-111.926018,33.50024316690721,-111.928397967548,
8700 at the Citadel,Scottsdale,Arizona,1,33.4942189,-111.926018,,,
La Frida Mexican grill and seafood,Tucson,Arizona,1,32.2228765,-110.974847,32.20605562,-110.83766163,"7230 E 22nd St, Tucson, Arizona 85710, United States"
Cafe Terra Cotta,Tucson,Arizona,1,32.2228765,-110.974847,32.35810599,-111.02495474,"2727 W Club Dr, Tucson, Arizona 85742, United States"
Janos Wilder,Tucson,Arizona,1,32.2228765,-110.974847,,,
Café Gozhóó,Whiteriver,Arizona,1,33.836535,-109.956575,33.897459,-109.946254,"5624 N 1st St, Whiteriver, Arizona 85941, United States"
One Eleven at the Capital,Little Rock,Arkansas,1,34.7465071,-92.2896267,34.74789,-92.271263,
Heirloom at The 1907,Rogers,Arkansas,1,36.334857,-94.1193816,36.333395,-94.115858,"101 E Walnut St #301, Rogers, Arkansas 72756, United States"
Robert Foley Vineyards,Angwin,California,1,38.5757402,-122.449979,38.59765,-122.451768,"1300 Summit Lake Dr, Angwin, California 94508, United States"
Noriega Restaurant and Hotel,Bakersfield,California,1,35.3738712,-119.019463,35.35394,-119.05555,
Corazon y Miel,Bell,California,1,33.9747806,-118.1866361,,,
Rocio's Mexican Kitchen,Bell Gardens,California,1,33.9694561,-118.1503953,33.96,-118.15653,"7891 Garfield Ave, Bell Gardens, California 90201, United States"
Tamales Elena y Antojitos,Bell Gardens,California,1,33.9694561,-118.1503953,33.935428,-118.143583,"11851 Paramount Blvd, Downey, California 90241, United States"
Steve Sullivan,Berkeley,California,1,37.8708393,-122.272863,32.15030763,-81.2028749,"Savannah, Georgia 31407, United States"
Michael Pollan,Berkeley,California,1,37.8708393,-122.272863,,,
Kermit Lynch,Berkeley,California,1,37.8708393,-122.272863,37.87497284,-122.293839,"1605 San Pablo Ave, Berkeley, California 94702, United States"
Alice Waters,Berkeley,California,1,37.8708393,-122.272863,,,
Maude,Beverly Hills,California,1,34.0696501,-118.3963062,34.08823447,-118.37825854,"8550 Santa Monica Blvd building 300 Suite 110, West Hollywood, California 90069, United States"
Urasawa,Beverly Hills,California,1,34.0696501,-118.3963062,,,
The Wolfgang Puck Fine Dining Group,Beverly Hills,California,1,34.0696501,-118.3963062,43.479528,-110.76593161,"260 W Broadway # B, Jackson, Wyoming 83001, United States"
Cut,Beverly Hills,California,1,34.0696501,-118.3963062,34.09814679,-118.35327097,"7511 Sunset Blvd, Los Angeles, California 90046, United States"
Nobu Matsuhisa,Beverly Hills,California,1,34.0696501,-118.3963062,34.0683725717888,-118.376547763452,
Barbara Lazaroff,Beverly Hills,California,1,34.0696501,-118.3963062,,,
Sierra Mar at Post Ranch Inn,Big Sur,California,1,36.1437044,-121.564593,36.229773,-121.771788,
Charlie Trotter's,Burlingame,California,1,37.5780965,-122.3473099,41.918164,-87.649141,"816 W Armitage Ave, Chicago, Illinois 60614, United States"
Seagram Chateau & Estate Wines Co. and Sterline School of Hospitality,Calistoga,California,1,38.5787966,-122.579705,38.574762,-122.578559,
Lilo,Carlsbad,California,1,33.1580933,-117.3505966,33.164129,-117.351867,"2571 Roosevelt St, Carlsbad, California 92008, United States"
Fraiche,Culver CIty,California,1,34.0211224,-118.396466,33.94193147,-118.31411913,"2019 W 104th St, Los Angeles, California 90047, United States"
"Magic Gourmet Trading (Koi Palace, Dragon Beaux, Palette Tea House)",Daly City,California,1,37.6904826,-122.47267,,,
Pho 79,Garden Grove,California,1,33.7746292,-117.9463717,25.756158,-80.366802,"1415 SW 107th Ave, Miami, Florida 33174, United States"
Mark Jensen,Healdsburg,California,1,38.6106812,-122.870138,40.37788684,-111.76529889,"1248 E 90 N STE 103, American Fork, Utah 84003, United States"
"Allied Domecq Wines, USA",Healdsburg,California,1,38.6106812,-122.870138,35.31267669,-94.38507127,"7401 State Hwy 45, Fort Smith, Arkansas 72916, United States"
Noreen Rei Fukumori,Healdsburg,California,1,38.6106812,-122.870138,37.87285214,-122.29348827,"1718 San Pablo Ave suite b, Berkeley, California 94702, United States"
Rajat Parr,Lompoc,California,1,34.6391501,-120.4579009,,,
Ammatolií,Long Beach,California,1,33.7690164,-118.191604,,,
Russ Parsons,Long Beach,California,1,33.7690164,-118.191604,,,
Dunsmoor,Los Angeles,California,1,34.0536909,-118.242766,34.116062,-118.235893,"3501 Eagle Rock Blvd, Los Angeles, California 90065, United States"
Ètra,Los Angeles,California,1,34.0536909,-118.242766,34.0844773,-118.3094853,"737 North Western Avenue, Los Angeles, California 90038, United States"
My 2 Cents,Los Angeles,California,1,34.0536909,-118.242766,34.049859,-118.359625,
Poltergeist,Los Angeles,California,1,34.0536909,-118.242766,34.13754701,-118.35332348,"100 Universal City Plaza, Studio City, California 91604, United States"
République,Los Angeles,California,1,34.0536909,-118.242766,34.064159,-118.343703,
Genever,Los Angeles,California,1,34.0536909,-118.242766,38.12498552,-122.22827197,"731 Admiral Callaghan Ln, Vallejo, California 94591, United States"
Phenakite,Los Angeles,California,1,34.0536909,-118.242766,34.096534,-118.310579,
WOODSPOON,Los Angeles,California,1,34.0536909,-118.242766,40.70461058,-74.0117187,"74 Broad St, New York, New York 10004, United States"
Angry Egret Dinette,Los Angeles,California,1,34.0536909,-118.242766,,,
Bon Temps,Los Angeles,California,1,34.0536909,-118.242766,30.20255559,-92.01411656,"1211 W Pinhook Rd, Lafayette, Louisiana 70503, United States"
Majordōmo,Los Angeles,California,1,34.0536909,-118.242766,,,
Freedman's,Los Angeles,California,1,34.0536909,-118.242766,34.0482588,-118.25700618,"626 Wilshire Blvd Suite 410-H24, Los Angeles, California 90017, United States"
Suzanne Jennifer Goin,Los Angeles,California,1,34.0536909,-118.242766,,,
Shibumi,Los Angeles,California,1,34.0536909,-118.242766,37.869787,-122.300843,"1816 Fourth St, Berkeley, California 94710, United States"
"(Chego, Sunny Spot, A-Frame, Pot, LocoL)",Los Angeles,California,1,34.0536909,-118.242766,,,
Helen Johannesen,Los Angeles,California,1,34.0536909,-118.242766,,,
Jeff Guga,Los Angeles,California,1,34.0536909,-118.242766,,,
Jon Shook,Los Angeles,California,1,34.0536909,-118.242766,,,
Vinny Dotolo,Los Angeles,California,1,34.0536909,-118.242766,34.0786401,-118.3613451,
Alimento,Los Angeles,California,1,34.0536909,-118.242766,37.799632,-122.409487,"507 Columbus Ave, San Francisco, California 94133, United States"
Valentino Restaurant Group,Los Angeles,California,1,34.0536909,-118.242766,,,
Mozza2Go,Los Angeles,California,1,34.0536909,-118.242766,34.083255,-118.339094,"6610 Melrose Ave, Los Angeles, California 90038, United States"
Mezze,Los Angeles,California,1,34.0536909,-118.242766,34.00173656,-118.46889134,"225 Lincoln Blvd, Venice, California 90291, United States"
Lucques/A.O.C./Tavern,Los Angeles,California,1,34.0536909,-118.242766,,,
Jonathan Gold,Los Angeles,California,1,34.0536909,-118.242766,34.05057566,-118.2484209,"Los Angeles, California 90013, United States"
Lazy Ox Canteen,Los Angeles,California,1,34.0536909,-118.242766,30.07433965,-99.27155113,"820 TX-39, Ingram, Texas 78025, United States"
Bruno Barrione,Los Angeles,California,1,34.0536909,-118.242766,,,
Philippe Starck,Los Angeles,California,1,34.0536909,-118.242766,,,
Theresa Fatino,Los Angeles,California,1,34.0536909,-118.242766,33.88302517,-118.40973051,"904 Manhattan Ave, Manhattan Beach, California 90266, United States"
"Patina Restaurant Group (Patina, Paperfish, Nick & Stef's Steakhouse, Pinot Provence and Catal Restaurant and Uva Bar)",Los Angeles,California,1,34.0536909,-118.242766,34.06555,-118.3469,
Douglas Riccardi,Los Angeles,California,1,34.0536909,-118.242766,32.57615747,-92.06976961,"3510 Magnolia Cove Suite 120, Monroe, Louisiana 71203, United States"
Lisa Eaton,Los Angeles,California,1,34.0536909,-118.242766,33.67694129,-117.67546259,"3014 Lupine, Lake Forest, California 92630, United States"
Christine Celic Strohl,Los Angeles,California,1,34.0536909,-118.242766,,,
Eric Stimmel,Los Angeles,California,1,34.0536909,-118.242766,30.87970453,-83.30664638,"3527 N Valdosta Rd, Valdosta, Georgia 31602, United States"
Hagy Belzberg,Los Angeles,California,1,34.0536909,-118.242766,,,
Manish Desai,Los Angeles,California,1,34.0536909,-118.242766,34.66127091,-118.14201659,"615 W Ave L, Lancaster, California 93534, United States"
Matteo Bologna,Los Angeles,California,1,34.0536909,-118.242766,,,
Joachim Splichal,Los Angeles,California,1,34.0536909,-118.242766,,,
Nancy Silverton,Los Angeles,California,1,34.0536909,-118.242766,,,
MB Post Restaurant,Manhattan Beach,California,1,33.8872777,-118.4104324,33.8852791,-118.4108876,
Ernest Gallo,Modesto,California,1,37.6393419,-120.9968892,37.63681,-120.981647,
Stateline Road Smokehouse,Napa,California,1,38.4898675,-122.3218414,38.304641,-122.286787,"872 Vallejo St, Napa, California 94559, United States"
"(Mustards Grill, Cindy's Backstreet Kitchen, Cindy's Waterfront at the Monterey Bay Aquarium)",Napa,California,1,38.4898675,-122.3218414,38.418954,-122.388218,
